date,text,is_verified_use,retweet_count,favorite_count
2019-11-28 11:48:41,"b'This is how VAR has effected the Premier League table - including Burnley, Brighton, Liverpool, Manchester United a\xe2\x80\xa6 https://t.co/h192tLu6LL'",False,0,1
2019-11-28 11:30:10,b'Budget iPhone 6 VAR and what sounds like a Wookie for an assistant? Still better than the Premier League \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\n\nNo\xe2\x80\xa6 https://t.co/B88iwaoRDR',False,0,0
2019-11-28 11:22:16,b'VAR gives a penalty for this in the Premier League. https://t.co/pX4r2dAjjk',False,0,1
2019-11-28 10:42:37,"b""That's a penalty for epl VAR https://t.co/U1lZryU93K""",False,0,0
2019-11-28 10:21:02,b'@goal And their last 12 games in the #EPL was won with the help of #VAR',False,0,3
2019-11-28 09:52:22,"b'@90min_Football Not Liverpool, no surprise cuz var will just win the premier league for them'",False,0,1
2019-11-28 09:37:37,b'@GoalNews @neiljonesgoal Liverpool just adapted VAR helping them in the epl just everyday and they tried the same h\xe2\x80\xa6 https://t.co/PuC3XPmKLT',False,0,0
2019-11-28 09:30:05,b'\xf0\x9f\x92\xa5GW14 Top Five Players\xf0\x9f\x92\xa5\n\nDo we need to reconsider our premium players?\n\n\xf0\x9f\x93\xb0 Headline Midfielder \xf0\x9f\x91\x95\n\xf0\x9f\x92\xb0 Budget Midfielder\xe2\x80\xa6 https://t.co/yoAkgdbZFO',False,2,5
2019-11-28 09:26:26,"b""Robertson: VAR is supposed to be on our side\n\nRef: This isn't Premier League. https://t.co/4OczBgTat1""",False,0,0
2019-11-28 09:24:53,b'@ManUtd_HQ How many times is the fucker going to keep diving? He constantly gets away with it in the premier league\xe2\x80\xa6 https://t.co/oaQLgD6g6L',False,0,0
2019-11-28 09:22:51,b'Would be a penalty in EPL after a VAR check https://t.co/kgSL3Cf8NP',False,0,0
2019-11-28 09:20:27,b'You think this is EPL? No VAR would help you.\nChill and see. https://t.co/gY320f1rC1',False,1,5
2019-11-28 09:08:15,"b'@FootyAccums If EPL,liVARpool wins it through var'",False,0,0
2019-11-28 08:57:51,"b""@ManUtd_HQ Those fools think it's EPL where VAR is doing everything to make them win the title on a platter.""",False,0,0
2019-11-28 08:39:30,b'If  Premier league\xe2\x80\x99s VAR was in the NBA they would cancel a 3 pointer cause the front part of the shoe crossed the\xe2\x80\xa6 https://t.co/nXdARzMsOd',False,0,1
2019-11-28 08:36:27,b'Ranking the Premier League clubs by who has been most affected by VAR on https://t.co/vxOLmwiqUX -\xe2\x80\xa6 https://t.co/TtxAMPOYYj',False,0,0
2019-11-28 08:18:57,"b""@AnfieldHumidor @LFCTransferRoom Haven't u heard VAR wants LiVARpool to win the Premier league that's why decisions\xe2\x80\xa6 https://t.co/avu3q5EM5Y""",False,0,0
2019-11-28 08:06:24,"b'@Ramzy_Sports @NeeksSports I tweeted last night, Liverpool get the penalty if it was VAR in EPL and they win the match'",False,0,1
2019-11-28 08:02:15,b'My view:\n\nThere is no point at all!\n\nIt will be the same referees who will be behind the screens judging it. Unless\xe2\x80\xa6 https://t.co/BHWDtZL1r1',False,0,0
2019-11-28 07:56:52,b'@gcroft1990 Normally in the premier league all the var decisions go liverpool way though',False,0,0
2019-11-28 07:55:37,"b""Robertson: VAR is supposed to be on our side \n\nRef: This isn't Premier League' https://t.co/f8tZBKPwEf""",False,0,0
2019-11-28 07:53:17,b'Ngl this was definitely going to be given in the Premier League via another shady VAR decision for Liverpool. https://t.co/ejKRGn6skt',False,1,42
2019-11-28 07:51:58,"b""Robertson: VAR is supposed to be on our side; Ref: This isn't Premier League' https://t.co/YA5eCySQmx""",False,0,0
2019-11-28 07:50:07,"b""@Realaldo474 Well you paid for epl's VAR not ucl's VAR.""",False,0,0
2019-11-28 07:30:56,"b'@IAMM_R_D @davidsyaaseen1 \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 A ""source"" says American owners have paid VAR in the Premier league \xf0\x9f\x98\x9c'",False,0,1
2019-11-28 07:19:19,"b""@Sarcastic__kid @URelliott Ucl var wont be so kind like the premier league is I'd imagine""",False,0,0
2019-11-28 07:14:19,"b'@AnfieldWatch He did go down, ref was looking at it &amp; let it go. Compare this to RM v PSG last night. Looks like fo\xe2\x80\xa6 https://t.co/J7OhWoiz7d'",False,0,1
2019-11-28 06:33:08,"b""Robertson: VAR is supposed to be on our side\n\nRef: This isn't Premier League. https://t.co/VpumQHRG3A""",False,0,1
2019-11-28 06:27:58,"b'If this was in premier league, useless referees and stupid VAR will call this a penalty https://t.co/1SgiTg3PHp'",False,0,0
2019-11-28 06:21:25,"b'@GuillemBalague @ManCityKD It\xe2\x80\x99s got to be VAR, surely. Involved in far more goals and assists than Messi. And look\xe2\x80\xa6 https://t.co/iqiCQmbKAt'",False,0,0
2019-11-28 05:58:20,b'@ManUtd_HQ Def not a penalty. If this was the EPL it is checked with VAR only then Liverpool will get the penalty.',False,0,1
2019-11-28 05:49:44,b'Would have been given is this was the premier league. They would have VAR that shit and say penalty. \xf0\x9f\x98\x82 https://t.co/mZtupOg1O3',False,0,2
2019-11-28 05:41:49,b'Can you please ask VAR to overturn your decision as we are losing - it happens in the Premier League ya know https://t.co/csl8iY16al',False,2,8
2019-11-28 05:28:54,"b""Reviews in NBA, VAR in EPL...Shit is getting annoying the way it's used now""",False,0,0
2019-11-28 05:23:38,b'@umasen24 So is VAR in premier league lol',False,0,0
2019-11-28 05:22:17,b'@NYCLFC_ UCL VAR is different from EPL VAR.',False,0,0
2019-11-28 05:21:10,"b'@evertony99 No surprises mate where the Gobshites are concerned, the FA,Premier League and Media bias is unbelievab\xe2\x80\xa6 https://t.co/MJVHcuerHJ'",False,0,0
2019-11-28 05:13:57,b'they went to review and still gave KCP a foul. NBA review has moved past EPL\xe2\x80\x99s VAR as worst replay review system',False,0,0
2019-11-28 05:12:59,b'This coaches challenge is worse then VAR in the Premier League',False,0,1
2019-11-28 05:12:55,b'Niche tweet but NBA challenge system is the same as VAR review in the Premier League',False,0,0
2019-11-28 04:53:27,"b""Liverpool only managed to pay the var of epl it seems. Will get uefa next year don't worry. #LIVNAP""",False,0,1
2019-11-28 04:02:54,"b'@goal With VAR help, they would\xe2\x80\x99ve gotten 2 penalty of it was in EPL in today\xe2\x80\x99s match with Napoli'",False,0,4
2019-11-28 03:28:25,b'Liverpool &amp; Var Fc Is Dominating Epl https://t.co/zSydTqsMt6',False,1,2
2019-11-28 03:25:44,b'VAR in Premier league  would have  called that a penalty for liverpool https://t.co/1PMqzfmgT4',False,0,1
2019-11-28 03:07:55,b'@empireofthekop EPL VAR would chalk that off. (Not saying that as a joke) in rare ways EPL VAR is better than UEFA.',False,0,0
2019-11-28 02:25:10,"b""@MoranPaul52 Stats can counteract that, they're the least affected team in the premier league by VAR decisions, sid\xe2\x80\xa6 https://t.co/GbH6MtnlDd""",False,0,0
2019-11-28 02:05:03,b'@redandbluesite Var in the cl and epl is different I think but even in cl there not consistent with what is and isn\xe2\x80\xa6 https://t.co/HpJApDo6OZ',False,0,0
2019-11-28 00:51:10,b'I\xe2\x80\x99ve had enough of the decisions being given by VAR in the Premier League. Anyone know how I can apply to become a\xe2\x80\xa6 https://t.co/jmAFAuXXLy',False,0,1
2019-11-28 00:41:41,b'@TrollFootball Robertson: VAR is supposed to be on our side\n\nRef: You guys paid just for the Premier League.\n\n***',False,0,0
2019-11-28 00:06:16,b'This isn\xe2\x80\x99t the premier league where you get everything you want from VAR https://t.co/bNcIapQWkp',False,0,1
2019-11-27 23:56:13,b'Liverpool: VAR suppose to be on our side.\n\nRef: This isn\xe2\x80\x99t Premier League \n\nLiverpool: https://t.co/o5BKzRwErg',False,1,1
2019-11-27 23:41:32,b'@LivEchoLFC So did @ChelseaFC enjoy a #VAR goal that was Identical to the one @LFC #Firmino had disallowed recently\xe2\x80\xa6 https://t.co/onVAb9Plq7',False,0,0
2019-11-27 23:31:56,"b'@LFC so, did @ChelseaFC enjoy a #VAR goal that was IDENTICAL to the one @LFC #Firmino had disallowed recently???\xe2\x80\xa6 https://t.co/HYuoZbNlBe'",False,0,0
2019-11-27 23:19:14,"b""Robertson: VAR is supposed to be on our side                    Ref: This isn't Premier League. https://t.co/mitVBeDzRj""",False,0,0
2019-11-27 23:18:50,b'VAR drama as Romelu Lukaku 2-0 Inter goal is disallowed to give Slavia Prague 1-1 penalty equaliser at opposite\xc2\xa0end\xe2\x80\xa6 https://t.co/oD3lvdmcQm',False,0,0
2019-11-27 23:07:21,b'Had that gone to VAR in the Premier league we all know the outcome https://t.co/J3UFVrkWn0',False,0,0
2019-11-27 22:57:44,b'@GaryLineker @GaryLineker did @ChelseaFC enjoy a #VAR goal that was Identical to the one @LFC #Firmino had disallow\xe2\x80\xa6 https://t.co/MLragaALyp',False,0,0
2019-11-27 22:48:44,"b'@Schen_RulEz UEFA var and epl var are not same, epl var always in favour of liVARpool'",False,0,0
2019-11-27 22:48:30,b'@NeilPunter They literally said that wasn\xe2\x80\x99t in the rules. An ex ref said it incorrectly isn\xe2\x80\x99t given if the ball hit\xe2\x80\xa6 https://t.co/mQBIoOnDWD',False,0,0
2019-11-27 22:43:34,"b'@DaleJohnsonESPN @TScorpio BT did show lines, red and blue like in the Premier League games, were these not the off\xe2\x80\xa6 https://t.co/OPt3SonTGQ'",False,0,0
2019-11-27 22:37:07,"b'@BendItLikeTobin No complain, UEFA var and epl var are not same, epl var always in liVARpool favour.'",False,0,0
2019-11-27 22:35:34,b'@ACFresh21 VAR has been a disappointment in the EPL',False,0,0
2019-11-27 22:33:02,"b'Interesting one with VAR: Premier League vs. Champions League.\n\nIt took a while for this review to be completed, bu\xe2\x80\xa6 https://t.co/rC243lmnTa'",True,0,5
2019-11-27 22:21:45,b'@kylepadan1 @MattHDGamer Premier League football is dead. I literally can\xe2\x80\x99t watch it from a neutral and watching ar\xe2\x80\xa6 https://t.co/Q5iVsJkW4j',False,0,1
2019-11-27 22:20:20,b'@Komps4 Only in Premier League is VAR helping them out. How long since they won league? 150 years or something like that i guess..',False,0,0
2019-11-27 22:09:59,b'If this was the Premier League 100% they get a pen off VAR',False,36,502
2019-11-27 22:09:12,b'@AceHlahla We just want to win Premier League we care less about VAR decisions if that what it takes us to win it let it be\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',False,0,0
2019-11-27 22:04:15,b'@ManUtd_HQ If the was premier league - VAR would have given it to them',False,0,1
2019-11-27 22:03:02,b'VAR are gunna wi... I mean Liverpool are gunna win the Champions League and Premier league',False,0,4
2019-11-27 22:02:02,"b'@NigeriaInfoPH Chidi, Messi setting another record. Napoli just showed us how wasteful and silly the EPL is. Liverp\xe2\x80\xa6 https://t.co/R58Hn9O0SU'",False,0,0
2019-11-27 22:01:59,b'@ChampionsLeague Congratulations @UEFA VAR is used worse in champions league than premier league. Even when watchin\xe2\x80\xa6 https://t.co/6xi9D4NLfK',False,0,2
2019-11-27 22:00:09,"b""OK just gona say it... Liverpool didn't play well...but it is what it is... We gota atleast get a draw against salz\xe2\x80\xa6 https://t.co/EjYbO4JscF""",False,0,0
2019-11-27 21:58:58,b'@BBCSport FC VAR push for equaliser and they got it as they normally do. Fixed Premier League soon to be Champions\xe2\x80\xa6 https://t.co/LEzuSl3pU8',False,0,0
2019-11-27 21:56:38,"b""I don't know about you o but I think this VAR has done more harm than good to football \xf0\x9f\xa4\xa6. You see those EPL VAR ehn, they do the worse\n#UCL""",False,0,4
2019-11-27 21:34:50,b'@lemmyliikkanen All goals scored in the Premier League will automatically be checked by the Video Assistant Referee (VAR).',False,0,0
2019-11-27 21:32:02,b'We\xe2\x80\x99re only good at #VAR in the premier league this ref is a joke today #YNWA',False,0,0
2019-11-27 21:29:08,b'@LFC Always VAR help liver ar.. The same play in EPL last match with crystal the goal is canceled.. Rubbish team with bad attitude of coach',False,0,1
2019-11-27 21:27:04,b'@LivEchoEFC Yet again ... the Premier League get it wrong. On pitch Ref and off it with VAR Ref. Why are we so surprised.',False,0,0
2019-11-27 21:26:41,b'Would have taken 20 mins for that goal to be decided by VAR in the premier league',False,0,0
2019-11-27 21:25:54,b'@henrywinter Van Dick stayed down hoping their premier league friend VAR would save them',False,0,0
